category,midpoint_threshold,eer_threshold,signal_size,noise_size
bottle,0.5996657504603781,0.37891387939453125,116,515
chair,0.5854704389296008,1.0,177,701
cup,0.5665634274482727,1.0000001192092896,193,916
fork,0.5980613231658936,0.9999999403953552,161,739
laptop,0.614968478679657,0.9999998807907104,86,463
microwave,0.6240097880363464,1.0000001192092896,109,611
sink,0.604252278804779,0.9999998807907104,195,544
stop sign,0.6461143493652344,1.0000001192092896,88,68
toilet,0.6401330828666687,1.0,110,187
tv,0.5774598121643066,0.3940191864967346,196,914
bowl,0.5876985788345337,0.42284101247787476,98,459
car,0.6807693441708882,1.0,72,149
clock,0.5694061517715454,1.0,83,109
keyboard,0.6198713183403015,0.9999999403953552,128,519
knife,0.6092700958251953,0.5437909364700317,98,455
mouse,0.6321452856063843,1.0,76,264
oven,0.6331159170184817,1.0,70,388
potted plant,0.5419875383377075,0.27844199538230896,107,519
